Id	Label	Color
309	Ave Maria	3
310	Miles	20
311	Chowan	14
312	Dartmouth	7
313	Wisconsin-Oshkosh	15
314	Mississippi College	23
315	Virginia-Wise	19
316	Arkansas Tech	12
317	West Liberty State	7
318	Alderson Broaddus	7
319	Limestone College	24
320	Kentucky Wesleyan	6
321	Wesley	8
