Id	Label	Color
309	Ave Maria	21
310	Miles	18
311	Chowan	18
312	Dartmouth	5
313	Wisconsin-Oshkosh	1
314	Mississippi College	12
315	Virginia-Wise	21
316	Arkansas Tech	12
317	West Liberty State	22
318	Alderson Broaddus	22
319	Limestone College	15
320	Kentucky Wesleyan	16
321	Wesley	2
