Id,Label,Color
310,Miles,7
311,Chowan,7
312,Dartmouth,16
313,Wisconsin-Oshkosh,24
314,Mississippi College,17
315,Virginia-Wise,19
316,Arkansas Tech,17
317,West Liberty State,25
318,Alderson Broaddus,16
319,Limestone College,18
320,Kentucky Wesleyan,10
321,Wesley,19
