Id,Label,Color
310,Miles,4
311,Chowan,4
312,Dartmouth,14
313,Wisconsin-Oshkosh,11
314,Mississippi College,24
315,Virginia-Wise,6
316,Arkansas Tech,24
317,West Liberty State,20
318,Alderson Broaddus,20
319,Limestone College,23
320,Kentucky Wesleyan,10
321,Wesley,7
